date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:58:56	23769/23769	---MCZ	200	added ('OK')	text/html	etag:W/%225cd9-6250d591ee03c%22	https://www.ansonika.com/satisfyc/index.html	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/index.html	(from )
19:58:57	79/79	---MCZ	200	added ('OK')	text/plain	date:Wed,%2007%20May%202025%2022:58:56%20GMT	https://www.ansonika.com/robots.txt		(from )
19:58:57	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-5e6590010ddd2%22	https://www.ansonika.com/satisfyc/img/favicon.ico	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/img/favicon.ico	(from https://www.ansonika.com/satisfyc/index.html)
19:58:58	1122/1122	---M--	200	added ('OK')	image/png	etag:%22462-5e659000bd0b9%22	https://www.ansonika.com/satisfyc/img/apple-touch-icon-57x57-precomposed.png	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/img/apple-touch-icon-57x57-precomposed.png	(from https://www.ansonika.com/satisfyc/index.html)
19:58:58	1225/1225	---M--	200	added ('OK')	image/png	etag:%224c9-5e659000efd4e%22	https://www.ansonika.com/satisfyc/img/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/img/apple-touch-icon-72x72-precomposed.png	(from https://www.ansonika.com/satisfyc/index.html)
19:58:59	1708/1708	---M--	200	added ('OK')	image/png	etag:%226ac-5e65900050a2e%22	https://www.ansonika.com/satisfyc/img/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/img/apple-touch-icon-114x114-precomposed.png	(from https://www.ansonika.com/satisfyc/index.html)
19:58:59	1658/1658	---M--	200	added ('OK')	image/png	etag:%2267a-5e659000a07a6%22	https://www.ansonika.com/satisfyc/img/apple-touch-icon-144x144-precomposed.png	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/img/apple-touch-icon-144x144-precomposed.png	(from https://www.ansonika.com/satisfyc/index.html)
19:58:59	194856/194856	---MCZ	200	added ('OK')	text/css	etag:W/%222f928-6049a985179cd%22	https://www.ansonika.com/satisfyc/css/bootstrap.min.css	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/bootstrap.min.css	(from https://www.ansonika.com/satisfyc/index.html)
19:59:00	25785/25785	---MCZ	200	added ('OK')	text/css	etag:W/%2264b9-6049a9856f448%22	https://www.ansonika.com/satisfyc/css/style.css	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/style.css	(from https://www.ansonika.com/satisfyc/index.html)
19:59:00	175802/175802	---MCZ	200	added ('OK')	text/css	etag:W/%222aeba-6250d585f9afd%22	https://www.ansonika.com/satisfyc/css/vendors.css	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/vendors.css	(from https://www.ansonika.com/satisfyc/index.html)
19:59:00	225/225	---MCZ	200	added ('OK')	text/css	etag:W/%22e1-6049a98512f93%22	https://www.ansonika.com/satisfyc/css/custom.css	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/custom.css	(from https://www.ansonika.com/satisfyc/index.html)
19:59:01	1386/1386	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2256a-5e6590014f4cc%22	https://www.ansonika.com/satisfyc/img/logo.svg	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/img/logo.svg	(from https://www.ansonika.com/satisfyc/index.html)
19:59:01	12609/12609	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223141-5e65900178905%22	https://www.ansonika.com/satisfyc/img/main_icon_1.svg	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/img/main_icon_1.svg	(from https://www.ansonika.com/satisfyc/index.html)
19:59:01	23167/23167	---MCZ	200	added ('OK')	text/html	etag:W/%225a7f-6250d59176628%22	https://www.ansonika.com/satisfyc/index-2.html	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/index-2.html	(from https://www.ansonika.com/satisfyc/index.html)
19:59:02	23686/23686	---MCZ	200	added ('OK')	text/html	etag:W/%225c86-6250d59195641%22	https://www.ansonika.com/satisfyc/index-3.html	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/index-3.html	(from https://www.ansonika.com/satisfyc/index.html)
19:59:02	87532/87532	---MCZ	200	added ('OK')	application/javascript	etag:W/%22155ec-6049a98323133%22	https://www.ansonika.com/satisfyc/js/jquery-3.7.1.min.js	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/js/jquery-3.7.1.min.js	(from https://www.ansonika.com/satisfyc/index.html)
19:59:03	318840/318840	---MCZ	200	added ('OK')	application/javascript	etag:W/%224dd78-6049a9816440e%22	https://www.ansonika.com/satisfyc/js/common_scripts.min.js	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/js/common_scripts.min.js	(from https://www.ansonika.com/satisfyc/index.html)
19:59:04	1553/1553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22611-6049a981de947%22	https://www.ansonika.com/satisfyc/js/functions.js	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/js/functions.js	(from https://www.ansonika.com/satisfyc/index.html)
19:59:04	4371/4371	---MCZ	200	added ('OK')	application/javascript	etag:W/%221113-6049a983de596%22	https://www.ansonika.com/satisfyc/js/survey_func.js	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/js/survey_func.js	(from https://www.ansonika.com/satisfyc/index.html)
19:59:05	1059/1059	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22423-5e6590019e68c%22	https://www.ansonika.com/satisfyc/img/pattern_3.svg	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/img/pattern_3.svg	(from https://www.ansonika.com/satisfyc/css/style.css)
19:59:05	85875/85875	---MCZ	200	added ('OK')	text/css	etag:W/%2214f73-6250d58773dd1%22	https://www.ansonika.com/satisfyc/css/bs-icon-font/bootstrap-icons.min.css	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/bs-icon-font/bootstrap-icons.min.css	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:08	320576/320576	---M--	200	added ('OK')	font/woff	etag:%224e440-6049a98d5c085%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/fontello.woff?32974303	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/fontello4508.woff	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:10	532632/532632	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2282098-6049a98c57053%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/fontello.eot?32974303	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/fontello4508.eot	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:12	58680/58680	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e538-6049a98f2903f%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/Pe-icon-7-stroke.eot?d7yf1v	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/Pe-icon-7-strokebb1d.eot	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:12	58680/58680	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e538-6049a98f2903f%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/Pe-icon-7-stroke.eot?	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/Pe-icon-7-stroked41d.eot	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:12	824048/824048	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c92f0-6049a98cb0df7%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/fontello.svg?32974303	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/fontello4508.svg	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:13	58480/58480	---M--	200	added ('OK')	font/ttf	etag:%22e470-6049a98f94efb%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/Pe-icon-7-stroke.ttf?d7yf1v	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/Pe-icon-7-strokebb1d.ttf	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:14	58556/58556	---M--	200	added ('OK')	font/woff	etag:%22e4bc-6049a990082e9%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/Pe-icon-7-stroke.woff?d7yf1v	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/Pe-icon-7-strokebb1d.woff	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:14	164020/164020	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22280b4-6049a98fa02af%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/Pe-icon-7-stroke.svg?d7yf1v	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/Pe-icon-7-strokebb1d.svg	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:14	63664/63664	---M--	200	added ('OK')	font/woff	etag:%22f8b0-6049a98bd07c5%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/ElegantIcons.woff	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/ElegantIcons.woff	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:14	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e8b4-6049a98b0d276%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/ElegantIcons.eot?	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/ElegantIconsd41d.eot	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:15	59388/59388	---M--	200	added ('OK')	font/ttf	etag:%22e7fc-6049a98b78191%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/ElegantIcons.ttf	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/ElegantIcons.ttf	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:15	532464/532464	---M--	200	added ('OK')	font/ttf	etag:%2281ff0-6049a98d1c8cb%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/fontello.ttf?32974303	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/fontello4508.ttf	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:15	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-6049a990d3d0c%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/themify.eot?-fvbane	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/themify9f24.eot	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:16	277297/277297	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2243b31-6049a98b52bda%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/ElegantIcons.svg	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/ElegantIcons.svg	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:16	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e8b4-6049a98b0d276%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/ElegantIcons.eot	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/ElegantIcons.eot	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:17	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-6049a990d3d0c%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/themify.eot?	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/themifyd41d.eot	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:17	56108/56108	---M--	200	added ('OK')	font/woff	etag:%22db2c-6049a991b1075%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/themify.woff?-fvbane	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/themify9f24.woff	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:18	78584/78584	---M--	200	added ('OK')	font/ttf	etag:%22132f8-6049a9915c8c3%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/themify.ttf?-fvbane	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/themify9f24.ttf	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:18	2108/2108	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2283c-6049a98d5c085%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/Glyphter.eot	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/Glyphter.eot	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:18	234269/234269	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223931d-6049a991426c0%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/themify.svg?-fvbane	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/themify9f24.svg	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:18	2108/2108	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2283c-6049a98d5c085%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/Glyphter.eot?	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/Glyphterd41d.eot	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:19	1324/1324	---M--	200	added ('OK')	font/woff	etag:%2252c-6049a98de2913%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/Glyphter.woff	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/Glyphter.woff	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:19	1940/1940	---M--	200	added ('OK')	font/ttf	etag:%22794-6049a98da0e30%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/Glyphter.ttf	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/Glyphter.ttf	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:19	4301/4301	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2210cd-6049a98daae5d%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/Glyphter.svg	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/Glyphter.svg	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:20	2820/2820	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b04-6049a98fe3502%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/smiles.eot	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/smiles.eot	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:20	2820/2820	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b04-6049a98fe3502%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/smiles.eot?	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/smilesd41d.eot	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:20	1344/1344	---M--	200	added ('OK')	font/woff	etag:%22540-6049a9908b4c6%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/smiles.woff	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/smiles.woff	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:20	2660/2660	---M--	200	added ('OK')	font/ttf	etag:%22a64-6049a990424b1%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/smiles.ttf	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/smiles.ttf	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:21	6805/6805	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221a95-6049a99046332%22	https://www.ansonika.com/satisfyc/css/icon_fonts/font/smiles.svg	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/icon_fonts/font/smiles.svg	(from https://www.ansonika.com/satisfyc/css/vendors.css)
19:59:23	130396/130396	---M--	200	added ('OK')	font/woff2	etag:%221fd5c-6250d5888a6e3%22	https://www.ansonika.com/satisfyc/css/bs-icon-font/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/bs-icon-font/fonts/bootstrap-icons0107.woff2	(from https://www.ansonika.com/satisfyc/css/bs-icon-font/bootstrap-icons.min.css)
19:59:24	176032/176032	---M--	200	added ('OK')	font/woff	etag:%222afa0-6250d58889b2b%22	https://www.ansonika.com/satisfyc/css/bs-icon-font/fonts/bootstrap-icons.woff?dd67030699838ea613ee6dbda90effa6	C:/My%20Web%20Sites/encuestadora/www.ansonika.com/satisfyc/css/bs-icon-font/fonts/bootstrap-icons0107.woff	(from https://www.ansonika.com/satisfyc/css/bs-icon-font/bootstrap-icons.min.css)
